rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
262,r610_bystraya_pitstsa_na_hlebe,Быстрая пицца на хлебе,missing approximate/user-friendly measure: 2; e.g. томаты в собственном соку — 120 г (без добавленного соуса); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
263,r056_puding_s_chia_v_stile_masala_chay_bananom_i_fistashkam,"Пудинг с чиа в стиле масала-чай, бананом и фисташками","ingredient in list not named in steps: 1 (pistachios); truncation/fragment/weak finish: 1; e.g. Выложите половину пудинга в стакан или миску, добавьте половину банана и фисташек, затем повторите слой пудинга, банана и фисташек",D. rewrite steps for completeness,no,warning
264,r079_egipetskiy_ful_medames_s_tahini_i_limonom,Египетский фул медамес с тахини и лимоном,"ingredient in list not named in steps: 1 (onion); truncation/fragment/weak finish: 1; e.g. Если пюре выглядит расслоившимся или слишком густым, добавьте ложку холодной воды и снова перемешайте",D. rewrite steps for completeness,no,warning
265,r109_kurinyy_sup_s_beloy_fasolyu_i_keylom,Куриный суп с белой фасолью и кейлом,ingredient in list not named in steps: 1 (red_beans); truncation/fragment/weak finish: 1; e.g. Разлейте горячий суп по глубоким мискам,D. rewrite steps for completeness,no,warning
266,r158_domashniy_vegetarianskiy_chili_s_chernoy_i_pinto_fasol,Домашний вегетарианский чили с черной и пинто фасолью,"ingredient in list not named in steps: 1 (oregano); truncation/fragment/weak finish: 1; e.g. Разлейте чили по мискам, добавьте авокадо, тортилья-чипсы и дополнительную кинзу",D. rewrite steps for completeness,no,warning
267,r204_boul_s_lososem_brokkoli_i_bulgurom,"Боул с лососем, брокколи и булгуром","ingredient in list not named in steps: 1 (lemon_juice); truncation/fragment/weak finish: 1; e.g. Выложите булгур, брокколи, огурец и лосось в миску, добавьте соус",D. rewrite steps for completeness,no,warning
268,r206_boul_iz_perlovki_s_yaytsom_bekonom_i_tomatnym_sousom,"Боул из перловки с яйцом, беконом и томатным соусом","ingredient in list not named in steps: 1 (pearl_barley); truncation/fragment/weak finish: 1; e.g. Выложите перловку в миску, добавьте соус с беконом и яйцо",D. rewrite steps for completeness,no,warning
269,r266_boul_s_kuritsey_fasolyu_i_avokado,"Боул с курицей, фасолью и авокадо","ingredient in list not named in steps: 1 (red_beans); truncation/fragment/weak finish: 1; e.g. Выложите в миску курицу, фасоль, авокадо, помидор и огурец, добавьте соус",D. rewrite steps for completeness,no,warning
270,r302_yogurt_s_chernikoy_yablokom_i_semenami,"Йогурт с черникой, яблоком и семенами","ingredient in list not named in steps: 1 (pumpkin_seeds); truncation/fragment/weak finish: 1; e.g. Смешайте йогурт, чернику, яблоко, семечки и овсяные хлопья",D. rewrite steps for completeness,no,warning
271,r313_yagodno_kefirnyy_smuzi_s_bananom_i_mindalnoy_pastoy,Ягодно-кефирный смузи с бананом и миндальной пастой,ingredient in list not named in steps: 1 (almond_butter); truncation/fragment/weak finish: 1; e.g. Перелейте в большой стакан и выпейте свежим,D. rewrite steps for completeness,no,warning
272,r350_sendvich_s_kuritsey_mango_i_yogurtovym_sousom,"Сэндвич с курицей, манго и йогуртовым соусом","ingredient in list not named in steps: 1 (whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Соберите сэндвич из хлеба, курицы, манго, салата и соуса",D. rewrite steps for completeness,no,warning
273,r364_ogurechnye_tosty_s_tuntsom_i_yogurtom,Огуречные тосты с тунцом и йогуртом,"ingredient in list not named in steps: 1 (whole_grain_bread); truncation/fragment/weak finish: 1; e.g. Подсушите хлеб, выложите тунцовый салат и огурец",D. rewrite steps for completeness,no,warning
274,r400_salatnye_chashechki_s_krevetkami_i_krabovymi_palochkam,Салатные чашечки с креветками и крабовыми палочками,"ingredient in list not named in steps: 1 (lemon_juice); truncation/fragment/weak finish: 1; e.g. Смешайте с йогуртом, лимонным соком, солью и перцем, выложите в листья салата",D. rewrite steps for completeness,no,warning
275,r406_buterbrod_s_syrom_i_vetchinoy,Бутерброд с сыром и ветчиной,ingredient in list not named in steps: 1 (whole_grain_bread); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
276,r413_omlet_s_zelenym_goroshkom_i_svekloy,Омлет с зеленым горошком и свеклой,ingredient in list not named in steps: 1 (milk); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
277,r418_slivochnyy_tykvenno_shokoladnyy_muss,Сливочный тыквенно-шоколадный мусс,ingredient in list not named in steps: 1 (gelatin); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
278,r430_belkovyy_salat_s_fasolyu,Белковый салат с фасолью,ingredient in list not named in steps: 1 (cilantro); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
279,r434_zapechennoe_yabloko_s_apelsinom_i_koritsey,Запеченное яблоко с апельсином и корицей,ingredient in list not named in steps: 1 (apple); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
280,r435_kukuruznaya_kasha,Кукурузная каша,ingredient in list not named in steps: 1 (cornmeal); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
281,r442_bananovye_oladi_s_shokoladnoy_nachinkoy,Банановые оладьи с шоколадной начинкой,ingredient in list not named in steps: 1 (wheat_flour); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
282,r443_ovsyanye_blinchiki,Овсяные блинчики,ingredient in list not named in steps: 1 (wheat_flour); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
283,r447_skrembl_iz_tofu,Скрэмбл из тофу,ingredient in list not named in steps: 1 (garlic); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
284,r448_tselnozernovoy_hleb_s_pashtetom_iz_kurinoy_pecheni,Цельнозерновой хлеб с паштетом из куриной печени,ingredient in list not named in steps: 1 (chicken_liver); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
285,r450_spagetti_s_kuritsey_v_smetannom_souse,Спагетти с курицей в сметанном соусе,ingredient in list not named in steps: 1 (oregano); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
286,r453_struchkovaya_fasol_s_chesnokom_i_soevym_sousom,Стручковая фасоль с чесноком и соевым соусом,ingredient in list not named in steps: 1 (red_beans); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
287,r458_indeyka_tushenaya_v_smetane,Индейка тушеная в сметане,ingredient in list not named in steps: 1 (wheat_flour); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
288,r462_indeyka_s_baklazhanami_v_duhovke,Индейка с баклажанами в духовке,ingredient in list not named in steps: 1 (greens); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
289,r470_tofu_nori_v_klyare,Тофу-нори в кляре,ingredient in list not named in steps: 1 (wheat_flour); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
290,r479_kuskus_s_kuritsey,Кускус с курицей,ingredient in list not named in steps: 1 (onion); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
291,r487_kurino_kartofelnye_oladi,Курино-картофельные оладьи,ingredient in list not named in steps: 1 (cornstarch); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
292,r503_mak_end_chiz,Мак-энд-чиз,ingredient in list not named in steps: 1 (wheat_flour); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
293,r506_yaichnyy_roll_s_vetchinoy,Яичный ролл с ветчиной,ingredient in list not named in steps: 1 (gouda); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
294,r524_ryba_s_kartofelem_i_limonom,Рыба с картофелем и лимоном,ingredient in list not named in steps: 1 (white_fish); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
295,r525_losos_s_risom_i_brokkoli,Лосось с рисом и брокколи,ingredient in list not named in steps: 1 (lemon_juice); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
296,r529_chili_s_farshem_i_fasolyu,Чили с говяжьим фаршем и фасолью,ingredient in list not named in steps: 1 (onion); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
297,r544_kurinoe_karri_s_risom,Куриное карри с рисом,ingredient in list not named in steps: 1 (onion); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
298,r548_kurinaya_pechen_s_grechkoy,Куриная печень с гречкой,ingredient in list not named in steps: 1 (chicken_liver); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
299,r550_zapechennyy_kartofel_s_farshem_i_yogurtovym_sousom,Запеченный картофель с говяжьим фаршем и йогуртовым соусом,ingredient in list not named in steps: 1 (onion); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
300,r553_losos_v_medovo_gorchichnom_souse,Лосось в медово-горчичном соусе,ingredient in list not named in steps: 1 (potato); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
301,r574_hrustyaschie_nutovye_shariki,Хрустящие нутовые шарики,ingredient in list not named in steps: 1 (garlic); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
302,r575_ogurtsy_s_tuntsovym_kremom,Огурцы с тунцовым кремом,ingredient in list not named in steps: 1 (tuna); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
303,r582_yaytsa_farshirovannye_avokado,"Яйца, фаршированные авокадо",ingredient in list not named in steps: 1 (lemon_juice); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
304,r589_yaytsa_farshirovannye_shprotami,"Яйца, фаршированные шпротами",ingredient in list not named in steps: 1 (lemon_juice); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
305,r601_tost_s_arahisovoy_pastoy_i_yablokom,Тост с арахисовой пастой и яблоком,ingredient in list not named in steps: 1 (peanut_butter); extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
306,r615_ogurechnye_lodochki_s_tuntsom,Огуречные лодочки с тунцом,ingredient in list not named in steps: 1 (lemon_juice); truncation/fragment/weak finish: 1; e.g. Выложите начинку в огуречные лодочки,D. rewrite steps for completeness,no,warning
307,r624_rybnyy_sup_s_risom_i_kartofelem,Рыбный суп с рисом и картофелем,ingredient in list not named in steps: 1 (white_fish); truncation/fragment/weak finish: 1; e.g. В конце добавьте укроп,D. rewrite steps for completeness,no,warning
308,r644_ovsyanoe_pechene_s_koritsey,Овсяное печенье с корицей,ingredient in list not named in steps: 1 (wheat_flour); truncation/fragment/weak finish: 1; e.g. Выложите небольшие печенья на пергамент и выпекайте при 180 °C около 15 минут,D. rewrite steps for completeness,no,warning
309,r662_bananovye_oladi_bez_yaits,Банановые оладьи без яиц,ingredient in list not named in steps: 1 (wheat_flour); truncation/fragment/weak finish: 1; e.g. Жарьте небольшие оладьи на смазанной маслом сковороде до румяности с двух сторон,D. rewrite steps for completeness,no,warning
310,r663_kabachkovye_oladi_bez_yaits,Кабачковые оладьи без яиц,ingredient in list not named in steps: 1 (wheat_flour); truncation/fragment/weak finish: 1; e.g. Жарьте небольшие оладьи на смазанной маслом сковороде до румяности с двух сторон,D. rewrite steps for completeness,no,warning
311,r259_kefirnyy_smuzi_s_tvorogom_i_bananom,Кефирный смузи с творогом и бананом,"truncation/fragment/weak finish: 1; e.g. Взбейте кефир, творог, банан, какао и мед до однородности; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 120 г",D. rewrite steps for completeness,no,warning
312,r286_letnyaya_tomatnaya_brusketta_s_bazilikom,Летняя томатная брускетта с базиликом,truncation/fragment/weak finish: 1; e.g. Ложкой выложите томаты вместе с соком на тосты и закончите оставшейся солью; missing approximate/user-friendly measure: 1; e.g. чеснок — 2 г,D. rewrite steps for completeness,no,warning
313,r304_tvorog_s_yablokom_izyumom_i_koritsey,"Творог с яблоком, изюмом и корицей","truncation/fragment/weak finish: 1; e.g. Смешайте творог, йогурт, яблоко, изюм и корицу; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 200 г",D. rewrite steps for completeness,no,warning
314,r361_edamame_s_tvorogom_i_ogurtsom,Зеленый горошек с творогом и огурцом,"truncation/fragment/weak finish: 1; e.g. Выложите творог, горошек и огурец в миску, добавьте соевый соус, лимонный сок и кунжут; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 150 г",D. rewrite steps for completeness,no,warning
315,r372_fruktovyy_tvorog_s_mango_kivi_i_yagodami,"Фруктовый творог с манго, киви и ягодами","truncation/fragment/weak finish: 1; e.g. Добавьте нарезанные манго, киви и ягоды; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 200 г",D. rewrite steps for completeness,no,warning
316,r373_klubnichno_bananovyy_kefirnyy_smuzi_s_tvorogom,Клубнично-банановый кефирный смузи с творогом,"truncation/fragment/weak finish: 1; e.g. Взбейте кефир, творог, клубнику, банан и мед; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 140 г",D. rewrite steps for completeness,no,warning
317,r377_yagodnyy_tvorozhnyy_krem_s_limonom,Ягодный творожный крем с лимоном,truncation/fragment/weak finish: 1; e.g. Добавьте ягоды; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 200 г,D. rewrite steps for completeness,no,warning
318,r378_shokoladno_bananovyy_tvorog,Шоколадно-банановый творог,truncation/fragment/weak finish: 1; e.g. Добавьте нарезанный банан и тертый темный шоколад; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 200 г,D. rewrite steps for completeness,no,warning
319,r379_yogurtovyy_boul_s_mango_ananasom_i_granoloy,"Йогуртовый боул с манго, ананасом и гранолой","truncation/fragment/weak finish: 1; e.g. Добавьте манго, ананас, гранолу и миндаль; missing approximate/user-friendly measure: 1; e.g. Миндаль — 10 г",D. rewrite steps for completeness,no,warning
320,r380_persikovyy_tvorog_s_vanilyu,Персиковый творог с ванилью,truncation/fragment/weak finish: 1; e.g. Добавьте нарезанный персик; missing approximate/user-friendly measure: 1; e.g. Творог 5% — 200 г,D. rewrite steps for completeness,no,warning
321,r402_tvorog_s_yaytsom_na_skovorode,Творог с яйцом на сковороде,missing approximate/user-friendly measure: 1; e.g. творог 2-5% (размять) — 60 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
322,r409_rikotta_s_fruktami,Рикотта с фруктами,missing approximate/user-friendly measure: 1; e.g. рикотта или мягкий творог — 120 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
323,r423_ovsyanaya_kasha_s_tomatami_zelenym_goroshkom_i_rikotto,"Овсяная каша с томатами, зелёным горошком и рикоттой",missing approximate/user-friendly measure: 1; e.g. рикотта или мягкий творог — 50 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
324,r445_tvorog_s_ukropom_i_hlebtsami,Творог с укропом и хлебцами,missing approximate/user-friendly measure: 1; e.g. творог 5% — 110 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
325,r446_tvorog_s_ukropom_i_morkovnymi_palochkami,Творог с укропом и морковными палочками,missing approximate/user-friendly measure: 1; e.g. творог 5% — 110 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
326,r466_shaurma_iz_morkovi,Шаурма из моркови,missing approximate/user-friendly measure: 1; e.g. сыр гауда (натереть) — 50 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
327,r472_tofu_steyki_v_teriyaki,Тофу-стейки в терияки,missing approximate/user-friendly measure: 1; e.g. шрирача — 8 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
328,r489_rulet_iz_lavasha_s_humusom,Рулет из лаваша с хумусом и томатами,missing approximate/user-friendly measure: 1; e.g. хумус — 100 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
329,r512_lavash_s_tvorogom_i_zelenyu,Лаваш с творогом и зеленью,missing approximate/user-friendly measure: 1; e.g. творога — 200 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
330,r576_finiki_s_orehovoy_pastoy,Финики с ореховой пастой,missing approximate/user-friendly measure: 1; e.g. орехи — 15 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
331,r580_tost_s_humusom_i_zapechennym_pertsem,Тост с хумусом и запечённым перцем,missing approximate/user-friendly measure: 1; e.g. хумус — 80 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
332,r608_goryachiy_buterbrod_s_syrom,Горячий бутерброд с сыром,missing approximate/user-friendly measure: 1; e.g. сыр гауда — 30 г; extra ranking weight: transferred range r401-r610,A. looks okay / no fix (low-priority warning review),yes,warning
333,r653_pasta_s_tuntsom_sparzhey_i_shpinatom,"Паста с тунцом, спаржей и шпинатом",truncation/fragment/weak finish: 1; e.g. Смешайте соус с пастой; missing approximate/user-friendly measure: 1; e.g. цельнозерновая паста — 80 г,D. rewrite steps for completeness,no,warning
334,r660_farshirovannye_yaytsa_s_avokado,Фаршированные яйца с авокадо,truncation/fragment/weak finish: 1; e.g. Наполните половинки белков и добавьте каперсы; missing approximate/user-friendly measure: 1; e.g. чеснок — 1 г,D. rewrite steps for completeness,no,warning
335,r213_ovoschnoy_minestrone_s_beloy_fasolyu_i_pastoy,Овощной минестроне с белой фасолью и пастой,"ingredient in list not named in steps: 3 (red_beans, oregano); missing approximate/user-friendly measure: 3; e.g. чеснок — 3 г",A. looks okay / no fix (low-priority warning review),no,warning
336,r223_kurinaya_zapekanka_kordon_blyu_s_brokkoli_i_fuzilli,Куриная запеканка кордон блю с брокколи и фузилли,"ingredient in list not named in steps: 3 (pasta_generic, cottage_cheese, wheat_flour); missing approximate/user-friendly measure: 3; e.g. чеснок — 1,5 г",A. looks okay / no fix (low-priority warning review),no,warning
337,r227_zapechennye_rakushki_s_rikottoy_shpinatom_i_marinaroy,"Запеченные ракушки с рикоттой, шпинатом и маринарой","ingredient in list not named in steps: 3 (pasta_generic, cabbage, lemon_juice); missing approximate/user-friendly measure: 3; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
338,r187_risovyy_boul_so_skumbriey_i_ovoschami,Рисовый боул со скумбрией и овощами,"truncation/fragment/weak finish: 1; e.g. Выложите рис в тарелку, добавьте рыбу, овощи, зеленый лук, соевый соус и лимонный сок",D. rewrite steps for completeness,no,warning
339,r258_salat_s_nutom_tuntsom_i_ogurtsom,"Салат с нутом, тунцом и огурцом","truncation/fragment/weak finish: 1; e.g. Смешайте тунец, нут, огурец, йогурт, лимонный сок, укроп, соль и перец",D. rewrite steps for completeness,no,warning
340,r277_yogurtovyy_dip_s_kuritsey_i_ovoschami,Йогуртовый дип с курицей и овощами,truncation/fragment/weak finish: 1; e.g. Ешьте курицу и овощи с йогуртовым дипом,D. rewrite steps for completeness,no,warning
341,r319_mango_lassi_na_yogurte_i_kefire,Манго-ласси на йогурте и кефире,"truncation/fragment/weak finish: 1; e.g. Взбейте манго, йогурт, кефир, лаймовый сок, мед и кардамон",D. rewrite steps for completeness,no,warning
342,r374_tropicheskiy_yogurt_s_mango_bananom_i_granoloy,"Тропический йогурт с манго, бананом и гранолой","truncation/fragment/weak finish: 1; e.g. Добавьте нарезанные манго и банан, гранолу и темный шоколад",D. rewrite steps for completeness,no,warning
343,r385_salatnye_listya_s_kurinoy_grudkoy_avokado_i_bekonom,"Салатные листья с куриной грудкой, авокадо и беконом",truncation/fragment/weak finish: 1; e.g. Выложите начинку в листья салата и добавьте бекон,D. rewrite steps for completeness,no,warning
344,r397_salatnye_listya_s_nutom_avokado_i_yogurtovym_sousom,"Салатные листья с нутом, авокадо и йогуртовым соусом",truncation/fragment/weak finish: 1; e.g. Выложите начинку в листья салата,D. rewrite steps for completeness,no,warning
345,r398_salatnye_listya_s_indeykoy_yogurtom_i_izyumom,"Салатные листья с индейкой, йогуртом и изюмом",truncation/fragment/weak finish: 1; e.g. Выложите начинку в листья салата,D. rewrite steps for completeness,no,warning
346,r612_nesladkaya_ovsyanka_s_tofu_i_tomatom,Несладкая овсянка с тофу и томатом,"truncation/fragment/weak finish: 1; e.g. В конце вмешайте тофу, укроп и паприку",D. rewrite steps for completeness,no,warning
347,r616_tofu_s_pomidorom_i_zelenyu,Тофу с помидором и зеленью,"truncation/fragment/weak finish: 1; e.g. Смешайте овощи и тофу, добавьте лимонный сок, масло, укроп и черный перец",D. rewrite steps for completeness,no,warning
348,r232_pitatelnyy_salat_s_kuritsey_shpinatom_fetoy_i_semechka,"Питательный салат с курицей, шпинатом, фетой и семечками","ingredient in list not named in steps: 3 (oregano, feta, sunflower_seeds); missing approximate/user-friendly measure: 2; e.g. чеснок — 1 г",A. looks okay / no fix (low-priority warning review),no,warning
349,r246_bystro_obzharennaya_govyadina_s_brokkoli_i_morkovyu,Быстро обжаренная говядина с брокколи и морковью,"ingredient in list not named in steps: 3 (cornstarch, ginger, beef_sirloin); missing approximate/user-friendly measure: 2; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
350,r269_myagkie_ovsyano_izyumnye_granola_batonchiki,Мягкие овсяно-изюмные гранола-батончики,"ingredient in list not named in steps: 3 (wheat_flour, peanut_butter, brown_sugar); missing approximate/user-friendly measure: 2; e.g. арахисовая или другая ореховая паста — 6 г",A. looks okay / no fix (low-priority warning review),no,warning
351,r388_mini_pertsy_s_tvorozhnoy_nachinkoy_parmezanom_i_limono,"Мини-перцы с творожной начинкой, пармезаном и лимоном","ingredient in list not named in steps: 3 (greek_yogurt, lemon_juice, parsley); missing approximate/user-friendly measure: 2; e.g. Творог 5% — 150 г",A. looks okay / no fix (low-priority warning review),no,warning
352,r658_svekolnyy_humus_s_ovoschami,Свекольный хумус с овощами,"ingredient in list not named in steps: 3 (chickpeas, lemon_juice, cucumber); missing approximate/user-friendly measure: 2; e.g. тахини — 20 г",A. looks okay / no fix (low-priority warning review),no,warning
353,r230_tetratstsini_iz_indeyki_s_gribami_goroshkom_i_parmezan,"Тетраццини из индейки с грибами, горошком и пармезаном","missing approximate/user-friendly measure: 3; e.g. чеснок — 2 г; ingredient in list not named in steps: 2 (wheat_flour, cottage_cheese)",A. looks okay / no fix (low-priority warning review),no,warning
354,r007_yaichnye_maffiny_s_ovoschami,Яичные маффины с овощами,"ingredient in list not named in steps: 3 (green_onion, milk); missing approximate/user-friendly measure: 1; e.g. Чеддер/грюйер — 12,5 г",A. looks okay / no fix (low-priority warning review),no,warning
355,r019_tostirovannyy_myusli_s_mindalem_kokosom_i_konoplyanymi,"Тостированный мюсли с миндалем, кокосом и конопляными семенами","ingredient in list not named in steps: 3 (coconut_flakes, cranberries_dried, milk); missing approximate/user-friendly measure: 1; e.g. миндальные лепестки — 6,25 г",A. looks okay / no fix (low-priority warning review),no,warning
356,r048_burrito_s_chorizo_yaytsom_fasolyu_i_poblano,"Буррито с чоризо, яйцом, фасолью и поблано","ingredient in list not named in steps: 3 (sausage, flour_tortilla, red_beans); missing approximate/user-friendly measure: 1; e.g. Чеддер — 27,5 г",A. looks okay / no fix (low-priority warning review),no,warning
357,r065_vegetarianskaya_zapekanka_s_sosiskami_gribami_i_pertse,"Вегетарианская запеканка с сосисками, грибами и перцем","ingredient in list not named in steps: 3 (bell_pepper, milk, green_onion); missing approximate/user-friendly measure: 1; e.g. чеддер — 15,6 г",A. looks okay / no fix (low-priority warning review),no,warning
358,r210_boul_s_kinoa_zapechennymi_ovoschami_i_pesto_iz_keyla,"Боул с киноа, запеченными овощами и песто из кейла","ingredient in list not named in steps: 3 (cauliflower, broccoli, brussels_sprouts); missing approximate/user-friendly measure: 1; e.g. Сырая киноа — 40 г",A. looks okay / no fix (low-priority warning review),no,warning
359,r274_humus_s_pechenym_pertsem_gretskim_orehom_i_ovoschnymi_,"Хумус с печеным перцем, грецким орехом и овощными палочками","ingredient in list not named in steps: 3 (roasted_red_pepper, carrot, celery); missing approximate/user-friendly measure: 1; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
360,r291_kabachkovye_maffiny_s_fetoy_i_kuminom,Кабачковые маффины с фетой и кумином,"ingredient in list not named in steps: 3 (wheat_flour, kefir, feta); missing approximate/user-friendly measure: 1; e.g. фета — 11 г",A. looks okay / no fix (low-priority warning review),no,warning
361,r325_parfe_iz_grecheskogo_yogurta_s_yagodami_mindalem_i_med,"Парфе из греческого йогурта с ягодами, миндалем и медом","ingredient in list not named in steps: 3 (blueberries, almonds, honey); missing approximate/user-friendly measure: 1; e.g. миндальные лепестки — 25 г",A. looks okay / no fix (low-priority warning review),no,warning
362,r351_ostrye_rolly_s_kuritsey_avokado_i_pechenym_pertsem,"Острые роллы с курицей, авокадо и печеным перцем","ingredient in list not named in steps: 3 (lime_juice, flour_tortilla, roasted_red_pepper); missing approximate/user-friendly measure: 1; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
363,r365_pryanaya_zlakovaya_smes_s_sychuanskim_pertsem_i_hrusty,Пряная злаковая смесь с сычуаньским перцем и хрустящим маслом чили,"ingredient in list not named in steps: 3 (fennel_seed, brown_sugar, chili_oil); missing approximate/user-friendly measure: 1; e.g. жареный несоленый арахис — 18 г",A. looks okay / no fix (low-priority warning review),no,warning
364,r393_arbuzno_ogurechnyy_salat_s_fetoy_myatoy_i_balzamikom,"Арбузно-огуречный салат с фетой, мятой и бальзамиком","ingredient in list not named in steps: 3 (mint, feta, balsamic_glaze); missing approximate/user-friendly measure: 1; e.g. фета — 17 г",A. looks okay / no fix (low-priority warning review),no,warning
365,r613_fasolevyy_pashtet_s_ovoschami_i_tselnozernovymi_hlebts,Фасолевый паштет с овощами и цельнозерновыми хлебцами,"ingredient in list not named in steps: 3 (red_beans, whole_grain_bread, lemon_juice); missing approximate/user-friendly measure: 1; e.g. чеснок — 2 г",A. looks okay / no fix (low-priority warning review),no,warning
366,r099_burrito_dlya_zamorozki_s_batatom_yaytsom_i_chernoy_fas,"Буррито для заморозки с бататом, яйцом и черной фасолью","ingredient in list not named in steps: 2 (red_beans, flour_tortilla); missing approximate/user-friendly measure: 2; e.g. мягкий козий сыр — 14,4 г",A. looks okay / no fix (low-priority warning review),no,warning
367,r241_kurinye_fahitas_s_pertsem_i_salsoy,Куриные фахитас с перцем и сальсой,"ingredient in list not named in steps: 2 (hot_sauce, flour_tortilla); missing approximate/user-friendly measure: 2; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
368,r278_tsatsiki_s_morkovyu_ogurtsom_pertsem_i_pitoy,"Цацики с морковью, огурцом, перцем и питой","ingredient in list not named in steps: 2 (lemon_juice, pita); missing approximate/user-friendly measure: 2; e.g. Огурец для соуса — 100 г",A. looks okay / no fix (low-priority warning review),no,warning
369,r295_masala_omlet_maffiny_s_kabachkom_goroshkom_i_fetoy,"Масала-омлет маффины с кабачком, горошком и фетой","ingredient in list not named in steps: 2 (chili_pepper, feta); missing approximate/user-friendly measure: 2; e.g. чеснок — 2,5 г",A. looks okay / no fix (low-priority warning review),no,warning
370,r356_pita_s_humusom_morkovyu_kartofelem_i_fetoy,"Пита с хумусом, морковью, картофелем и фетой","ingredient in list not named in steps: 2 (pita, feta); missing approximate/user-friendly measure: 2; e.g. Хумус — 60 г",A. looks okay / no fix (low-priority warning review),no,warning
